name,sku,price,comparePrice,quantity,description,shortDescription,category,subCategory,subSubCategory,brand,weight,status,imageUrl,gtin,ean,mpn,googleCategory,condition,characteristics
"CEE-kontakt, IP44, 32A, 5-polig, 400V, 6h, rod",S52S30,3,,2,,,Industrial Plugs and Sockets,Sockets IP44,,ABL,0.23,ACTIVE,https://pbplus.eu/public/products/images/6b10d11101a4d6f73f296c9a1be88b9e.jpg,4011721102207,4011721102207,S52S30,,new,
"CEE-koppling, IP67, 16A, 5-polig, 400V, 6h, rod",K51S35,6.51,,9,,,Industrial Plugs and Sockets,Plugs IP67,,ABL,0.215,ACTIVE,https://pbplus.eu/public/products/images/534a27cdc607b345bb4c13364644267b.jpg,4011721103341,4011721103341,K51S35,,new,
"PERILEX surface mounted socket, 16 A, white",2491010,3.76,,111,,,"PERILEX - Plug, Connectors and Socket Outlets",,,ABL,0.136,ACTIVE,https://pbplus.eu/public/products/images/eac3a193787d2b2c1e6533f2e68c9e05.jpg,4011721028194,4011721028194,2491010,,new,
"PERILEX surface mounted socket, 25 A, white",2300010,26.6,,2,,,"PERILEX - Plug, Connectors and Socket Outlets",,,ABL,0.284,ACTIVE,https://pbplus.eu/public/products/images/2300010.jpg,4011721027999,4011721027999,2300010,,new,
"PERILEX flush mounted socket, 16 A, white",2421110,4.34,,64,,,"PERILEX - Plug, Connectors and Socket Outlets",,,ABL,0.142,ACTIVE,https://pbplus.eu/public/products/images/d6dedd2a8c66452fed53532e4b2f9c7d.jpg,4011721028118,4011721028118,2421110,,new,
"PERILEX angled plug, 16 A, white",2407110,4.12,,213,,,"PERILEX - Plug, Connectors and Socket Outlets",,,ABL,0.113,ACTIVE,https://pbplus.eu/public/products/images/30e8c62112dd2ee424a56272ba2eacb9.jpg,4011721028088,4011721028088,2407110,,new,
"SCHUKO rubber plug, black, 2 earthing systems, IP44, 3 x 1.5 mm? wiring space",1419190,1.73,,25,,,Plugs and Sockets on wire,Schuko IP44,,ABL,0.053,ACTIVE,https://pbplus.eu/public/products/images/1a63b0d4b6a314ba265fd57e3c152acf.jpg,4011721022604,4011721022604,1419190,,new,
"SCHUKO rubber connector, black, 3 x 1.5 mm? wiring space",1479090,2.37,,10,,,Plugs and Sockets on wire,Schuko IP44,,ABL,0.114,ACTIVE,https://pbplus.eu/public/products/images/facb1dc3bbdba3693d0f67f19e2d1948.jpg,4011721023632,4011721023632,1479090,,new,
"SCHUKO rubber connector, red",1479040,2.37,,1,,,Plugs and Sockets on wire,Schuko IP44,,ABL,0.117,ACTIVE,https://pbplus.eu/public/products/images/ab922167ae447dc2f3bc083523be1940.jpg,4011721046938,4011721046938,1479040,,new,
"SCHUKO solid rubber connector, black, quick-release fastener, with collar, IP44",1189290,5.89,,13,,,Plugs and Sockets on wire,Schuko IP44,,ABL,0.175,ACTIVE,https://pbplus.eu/public/products/images/3b8fb2eb7c6a29d26dc8715accd8a4c1.jpg,4011721021652,4011721021652,1189290,,new,
"SCHUKO PVC connector Mini, white",1679080,2.33,,10,,,Plugs and Sockets on wire,Schuko PVC,,ABL,0.092,ACTIVE,https://pbplus.eu/public/products/images/3b6b528781583fe3d11f5552497e888f.jpg,4011721024219,4011721024219,1679080,,new,
"Flansdosa IP67, gul",DG-RJ45,57.46,,2,,,Industrial Plugs and Sockets,Accessories IP67,,ABL,0.201,ACTIVE,https://pbplus.eu/public/products/images/54deb67ffff1ec5e19b7f98f8e28c2ed.jpg,4011721071510,4011721071510,DG-RJ45,,new,
"Auxiliary switch, PS EFI - 2D",002069003,9.61,,3,,,Modular current and residual protective devices,Residual current circuit breakers RCCB,,ETI,38,ACTIVE,https://pbplus.eu/public/products/images/002069003.jpg,5904722902756,5904722902756,002069003,,new,
"RCCB, * EFI6-2 AC 25/0.03",002062132,18.96,,9,,,Modular current and residual protective devices,Residual current circuit breakers RCCB,,ETI,0.185,ACTIVE,https://pbplus.eu/public/products/images/002062132_photo.jpg,3838895538240,3838895538240,002062132,,new,
"RCCB, *EFI-2 AC 16/0.3",002064121,24.36,,1,,,Modular current and residual protective devices,Residual current circuit breakers RCCB,,ETI,185,ACTIVE,https://pbplus.eu/public/products/images/002064121.jpg,3838895021094,3838895021094,002064121,,new,
"RCCB, * EFI-2 AC 40/0.3",002064123,25.58,,2,,,Modular current and residual protective devices,Residual current circuit breakers RCCB,,ETI,185,ACTIVE,https://pbplus.eu/public/products/images/002064123.jpg,3838895021117,3838895021117,002064123,,new,
"RCCB, * EFI-2 AC 40/0.5",002065123,21.94,,3,,,Modular current and residual protective devices,Residual current circuit breakers RCCB,,ETI,185,ACTIVE,https://pbplus.eu/public/products/images/002065123.jpg,3838895021155,3838895021155,002065123,,new,
"RCCB, *EFI6-4 AC 25/0.03",002062137,18.56,,1,,,Modular current and residual protective devices,Residual current circuit breakers RCCB,,ETI,305,ACTIVE,https://pbplus.eu/public/products/images/002062137_small_photo.jpg,3838895548195,3838895548195,002062137,,new,
"RCCB, *EFI-4 AC 40/0.5",002065143,25.64,,1,,,Modular current and residual protective devices,Residual current circuit breakers RCCB,,ETI,305,ACTIVE,https://pbplus.eu/public/products/images/002065143.jpg,3838895128953,3838895128953,002065143,,new,
"Auxiliary switch, PS ETIMAT 10 M",002159032,8,,6,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.05,ACTIVE,https://pbplus.eu/public/products/images/002159032.jpg,3838895447887,3838895447887,002159032,,new,
"Miniature circuit breaker, ETIMAT 10 1p B50 6kA",002121721,5.5,,85,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.114,ACTIVE,https://pbplus.eu/public/products/images/002121721_small_photo.jpg,3838895253037,3838895253037,002121721,,new,
"Miniature circuit breaker, ETIMAT 10 1p B63 6kA",002121722,5.93,,63,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.114,ACTIVE,https://pbplus.eu/public/products/images/002121722_small_photo.jpg,3838895259305,3838895259305,002121722,,new,
"Miniature circuit breaker, ETIMAT 10 1p C80",002131731,20.96,,1,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.25,ACTIVE,https://pbplus.eu/public/products/images/002131731.jpg,3838895328049,3838895328049,002131731,,new,
"Miniature circuit breaker, ETIMAT 10 1p C125",002131733,20.16,,1,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.25,ACTIVE,https://pbplus.eu/public/products/images/002131733.jpg,3838895328100,3838895328100,002131733,,new,
"Miniature circuit breaker, ETIMAT 10 1p C1,6",002131707,4.62,,8,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.115,ACTIVE,https://pbplus.eu/public/products/images/002131707_small_photo.jpg,3838895268222,3838895268222,002131707,,new,
"Miniature circuit breaker, ETIMAT 10 1p D32",002151719,3.71,,3,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.142,ACTIVE,https://pbplus.eu/public/products/images/002151719_small_photo.jpg,5902047600043,5902047600043,002151719,,new,
"Miniature circuit breaker, ETIMAT 10 2p C1,6",002133707,13.22,,1,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.232,ACTIVE,https://pbplus.eu/public/products/images/002133707_small_photo.jpg,3838895269533,3838895269533,002133707,,new,
"Miniature circuit breaker, ETIMAT 10 2p C4",002133710,11.75,,2,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.232,ACTIVE,https://pbplus.eu/public/products/images/002133710_small_photo.jpg,3838895260080,3838895260080,002133710,,new,
"Miniature circuit breaker, ETIMAT 10 2p C50 6kA",002133721,15.55,,7,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.227,ACTIVE,https://pbplus.eu/public/products/images/002133721_small_photo.jpg,3838895260561,3838895260561,002133721,,new,
"Miniature circuit breaker, ETIMAT 10 2p C63 6kA",002133722,20.43,,6,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.227,ACTIVE,https://pbplus.eu/public/products/images/002133722_small_photo.jpg,3838895260622,3838895260622,002133722,,new,
"Miniature circuit breaker, ETIMAT 10 3p B6",002125712,7.44,,4,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.334,ACTIVE,https://pbplus.eu/public/products/images/002125712_small_photo.jpg,5904722938281,5904722938281,002125712,,new,
"Miniature circuit breaker, ETIMAT 10 3p B50 6kA",002125721,18.9,,3,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.345,ACTIVE,https://pbplus.eu/public/products/images/002125721_small_photo.jpg,3838895271765,3838895271765,002125721,,new,
"Miniature circuit breaker, ETIMAT 10 3p B63 6kA",002125722,20.09,,15,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.345,ACTIVE,https://pbplus.eu/public/products/images/002125722_small_photo.jpg,3838895271826,3838895271826,002125722,,new,
"Miniature circuit breaker, ETIMAT 10 3p C0,5",002135701,16.04,,4,,,Modular current and residual protective devices,ETIMAT Miniature circuit breakers MCB,,ETI,0.354,ACTIVE,https://pbplus.eu/public/products/images/002135701_small_photo.jpg,3838895269595,3838895269595,002135701,,new,
